GeographicCode,GeographicName,Province,Population_2011,Population_2006,PrivateDwellings_2011,LandArea_SqKm_2011,PopDensity_SqKm_2011,NatPopRank_2011,ProvPopRank_2011
3556033,Abitibi 70,Ontario,126,114,46,78.7023,1.601,4258,505
3511035,Addington Highlands,Ontario,2532,2512,2067,1329.9252,1.9039,1132,289
3539047,Adelaide-Metcalfe,Ontario,3028,3135,1064,331.3806,9.1375,1002,270
3543003,Adjala-Tosorontio,Ontario,10603,10695,3799,372.3867,28.4731,375,138
3547043,Admaston/Bromley,Ontario,2844,2716,1208,524.6048,5.4212,1047,276
3559062,Agency 1,Ontario,0,0,0,0.628,0,4932,539
3518005,Ajax,Ontario,109600,90167,35593,67.0683,1634.155,45,22
3501007,Akwesasne (Part) 59,Ontario,,,,11.8626,,,
3559011,Alberton,Ontario,864,958,354,115.4319,7.4849,2261,372
3514027,Alderville First Nation,Ontario,469,506,272,12.6016,37.2175,3111,429
3502023,Alfred and Plantagenet,Ontario,9196,8654,3922,392.4499,23.4323,431,156
3557095,"Algoma, Unorganized, North Part",Ontario,5518,5717,5118,44077.0295,0.1252,658,220
3557094,"Algoma, Unorganized, South East Part",Ontario,0,0,0,43.5696,0,4932,539
3546018,Algonquin Highlands,Ontario,2156,1976,3878,1004.76,2.1458,1263,301
3514024,Alnwick/Haldimand,Ontario,6617,6435,3052,398.5726,16.6017,575,200
3522008,Amaranth,Ontario,3963,3845,1312,264.4952,14.9833,832,249
3537028,Amherstburg,Ontario,21556,21748,8600,185.6786,116.0931,186,73
3549019,Armour,Ontario,1372,1249,1074,164.4411,8.3434,1703,330
3554036,Armstrong,Ontario,1216,1155,516,90.3318,13.4615,1833,339
3547002,Arnprior,Ontario,8114,7158,3767,13.0412,622.182,470,168
3558076,Aroland 83,Ontario,361,325,100,3.2091,112.4926,3429,454
3541043,Arran-Elderslie,Ontario,6810,6747,2941,460.1263,14.8003,555,193
3540063,Ashfield-Colborne-Wawanosh,Ontario,5582,5409,3034,587.0791,9.5081,651,217
3515003,Asphodel-Norwood,Ontario,4041,4247,1756,160.9798,25.1025,818,246
3551011,Assiginack,Ontario,960,914,707,227.8718,4.2129,2137,360
3507042,Athens,Ontario,3118,3086,1268,127.7697,24.4033,981,267
3559001,Atikokan,Ontario,2787,3293,1460,319.2893,8.7288,1056,279
3560051,Attawapiskat 91A,Ontario,,,,1.1891,,,
3507006,Augusta,Ontario,7430,7510,2921,314.7321,23.6074,511,180
3519046,Aurora,Ontario,53203,47629,18092,49.7796,1068.7711,95,40
3534011,Aylmer,Ontario,7151,7069,2917,6.2244,1148.8658,530,184
3552028,Baldwin,Ontario,551,554,248,83.2937,6.6151,2867,413
3512061,Bancroft,Ontario,3880,3838,1896,229.5629,16.9017,843,250
3543042,Barrie,Ontario,135711,128430,52185,77.3895,1753.61,34,16
3534005,Bayham,Ontario,6989,6727,2481,244.9981,28.5268,541,188
3548072,Bear Island 1,Ontario,,,,2.9055,,,
3560095,Bearskin Lake,Ontario,,459,,125.7816,,,
3509024,Beckwith,Ontario,6986,6387,2817,240.5083,29.0468,542,189
3512005,Belleville,Ontario,49454,48821,22153,247.2089,200.0494,99,42
3559051,Big Grassy River 35G,Ontario,249,204,105,32.6864,7.6178,3814,473
3559052,Big Island Mainland 93,Ontario,0,10,1,0.4117,0,4932,539
3551021,Billings,Ontario,506,539,704,209.2973,2.4176,2984,421
3556014,Black River-Matheson,Ontario,2410,2619,1172,1163.4113,2.0715,1179,293
3532045,Blandford-Blenheim,Ontario,7359,7149,2716,382.2804,19.2503,519,182
3557038,Blind River,Ontario,3549,3780,2248,526.4611,6.7412,900,258
3540010,Bluewater,Ontario,7044,7120,4308,416.9875,16.8926,537,185
3548027,Bonfield,Ontario,2016,1981,947,208.4264,9.6725,1326,308
3547035,Bonnechere Valley,Ontario,3763,3665,2226,593.1905,6.3437,864,254
3544018,Bracebridge,Ontario,15409,15652,8515,625.6625,24.6283,261,98
3543014,Bradford West Gwillimbury,Ontario,28077,24039,9979,201.0275,139.6675,151,60
3521010,Brampton,Ontario,523911,433806,154663,266.3361,1967.1047,9,4
3529005,Brant,Ontario,35638,34415,13292,843.2887,42.2607,124,51
3529006,Brantford,Ontario,93650,90192,39397,72.4664,1292.3231,54,26
3554032,Brethour,Ontario,129,117,54,82.0539,1.5721,4246,504
3514004,Brighton,Ontario,10928,10253,4825,222.7629,49.0566,361,131
3518039,Brock,Ontario,11341,11979,4971,423.3834,26.7866,349,126
3541032,Brockton,Ontario,9432,9641,4157,565.4118,16.6816,421,151
3507015,Brockville,Ontario,21870,21957,10645,20.9045,1046.1862,183,70
3538015,Brooke-Alvinston,Ontario,2548,2661,1034,311.3044,8.1849,1129,288
3557021,Bruce Mines,Ontario,566,584,285,6.13,92.3328,2838,410
3547020,"Brudenell, Lyndoch and Raglan",Ontario,1658,1497,1031,705.8331,2.349,1514,319
3549022,Burk's Falls,Ontario,967,893,476,3.1208,309.8564,2126,359
3524002,Burlington,Ontario,175779,164415,69813,185.6627,946.7653,28,13
3551028,Burpee and Mills,Ontario,308,329,255,218.4752,1.4098,3605,461
3521024,Caledon,Ontario,59460,57050,19649,688.1462,86.4061,87,37
3549066,Callander,Ontario,3864,3249,1677,105.9688,36.4636,850,252
3548022,Calvin,Ontario,568,608,251,140.8857,4.0316,2835,409
3530010,Cambridge,Ontario,126748,120371,47818,112.9998,1121.6657,38,18
